topology,graph_id,num_nodes,num_edges,source,target,graph_image,algorithm,path_cost,path_hops,nodes_visited,edges_relaxed,execution_time_ms,success
line,9,70,69,37,2,graph_images\line\line_graph_9.png,Bellman-Ford,822,35,69,5244,0.7905999664217234,True
line,9,70,69,37,2,graph_images\line\line_graph_9.png,A*,822,35,68,133,0.10990002192556858,True
line,9,70,69,37,2,graph_images\line\line_graph_9.png,BFS (unweighted),822,35,68,133,0.06559980101883411,True
line,9,70,69,37,2,graph_images\line\line_graph_9.png,Bidirectional Dijkstra,822,35,53,105,0.08909986354410648,True
line,9,70,69,37,2,graph_images\line\line_graph_9.png,Floyd-Warshall,822,35,70,178780,24.712800048291683,True
line,10,222,221,117,164,graph_images\line\line_graph_10.png,Dijkstra,1245,47,98,194,0.15229987911880016,True
line,10,222,221,117,164,graph_images\line\line_graph_10.png,Bellman-Ford,1245,47,221,52156,9.146099910140038,True
line,10,222,221,117,164,graph_images\line\line_graph_10.png,A*,1245,47,98,194,0.2723999787122011,True
line,10,222,221,117,164,graph_images\line\line_graph_10.png,BFS (unweighted),1245,47,96,188,0.0887999776750803,True
line,10,222,221,117,164,graph_images\line\line_graph_10.png,Bidirectional Dijkstra,1245,47,103,206,0.19139982759952545,True
line,10,222,221,117,164,graph_images\line\line_graph_10.png,Floyd-Warshall,1245,47,222,5544228,698.520899983123,True
line,11,35,34,13,27,graph_images\line\line_graph_11.png,Dijkstra,381,14,28,53,0.0662999227643013,True
line,11,35,34,13,27,graph_images\line\line_graph_11.png,Bellman-Ford,381,14,34,952,0.20400015637278557,True
line,11,35,34,13,27,graph_images\line\line_graph_11.png,A*,381,14,28,53,0.05179992876946926,True
line,11,35,34,13,27,graph_images\line\line_graph_11.png,BFS (unweighted),381,14,28,53,0.031400006264448166,True
line,11,35,34,13,27,graph_images\line\line_graph_11.png,Bidirectional Dijkstra,381,14,29,58,0.0521000474691391,True
line,11,35,34,13,27,graph_images\line\line_graph_11.png,Floyd-Warshall,381,14,35,23240,3.0980000738054514,True
line,12,251,250,148,114,graph_images\line\line_graph_12.png,Dijkstra,937,34,74,146,0.12930016964673996,True
line,12,251,250,148,114,graph_images\line\line_graph_12.png,Bellman-Ford,937,34,250,74500,11.782899964600801,True
line,12,251,250,148,114,graph_images\line\line_graph_12.png,A*,937,34,74,146,0.16950001008808613,True
line,12,251,250,148,114,graph_images\line\line_graph_12.png,BFS (unweighted),937,34,69,134,0.05830009467899799,True
line,12,251,250,148,114,graph_images\line\line_graph_12.png,Bidirectional Dijkstra,937,34,73,146,0.1362999901175499,True
line,12,251,250,148,114,graph_images\line\line_graph_12.png,Floyd-Warshall,937,34,251,8000876,979.3040999211371,True
line,13,185,184,107,41,graph_images\line\line_graph_13.png,Dijkstra,1755,66,129,256,0.19789999350905418,True
line,13,185,184,107,41,graph_images\line\line_graph_13.png,Bellman-Ford,1755,66,184,39744,6.259199930354953,True
line,13,185,184,107,41,graph_images\line\line_graph_13.png,A*,1755,66,129,256,0.2225001808255911,True
line,13,185,184,107,41,graph_images\line\line_graph_13.png,BFS (unweighted),1755,66,133,262,0.11070002801716328,True
line,13,185,184,107,41,graph_images\line\line_graph_13.png,Bidirectional Dijkstra,1755,66,132,264,0.21980004385113716,True
line,13,185,184,107,41,graph_images\line\line_graph_13.png,Floyd-Warshall,1755,66,185,3216965,370.8112998865545,True
line,14,122,121,44,30,graph_images\line\line_graph_14.png,Dijkstra,269,14,24,46,0.12249988503754139,True
line,14,122,121,44,30,graph_images\line\line_graph_14.png,Bellman-Ford,269,14,121,10890,1.7411001026630402,True
line,14,122,121,44,30,graph_images\line\line_graph_14.png,A*,269,14,24,46,0.0420999713242054,True
line,14,122,121,44,30,graph_images\line\line_graph_14.png,BFS (unweighted),269,14,29,54,0.024300068616867065,True
line,14,122,121,44,30,graph_images\line\line_graph_14.png,Bidirectional Dijkstra,269,14,25,50,0.04060007631778717,True
line,14,122,121,44,30,graph_images\line\line_graph_14.png,Floyd-Warshall,269,14,122,930128,106.0164999216795,True
line,15,73,72,41,13,graph_images\line\line_graph_15.png,Dijkstra,687,28,55,108,0.1431000418961048,True
line,15,73,72,41,13,graph_images\line\line_graph_15.png,Bellman-Ford,687,28,72,6048,0.979200005531311,True
line,15,73,72,41,13,graph_images\line\line_graph_15.png,A*,687,28,55,108,0.10100007057189941,True
line,15,73,72,41,13,graph_images\line\line_graph_15.png,BFS (unweighted),687,28,57,110,0.039599835872650146,True
line,15,73,72,41,13,graph_images\line\line_graph_15.png,Bidirectional Dijkstra,687,28,52,104,0.08130003698170185,True
