topology,A*,BFS (unweighted),Bellman-Ford,Bidirectional Dijkstra,Dijkstra,Floyd-Warshall
bottleneck,42.7,54.4,53.9,52.0,42.7,54.9
dense_mesh,43.2,78.6,82.7,11.8,43.2,83.7
grid,62.6,76.4,145.7,43.2,65.6,146.7
line,75.4,76.0,166.2,82.3,75.4,167.2
ring,78.0,79.1,169.3,77.0,78.0,170.3
scale_free,84.9,143.7,163.8,20.0,84.9,164.8
small_world,78.1,109.9,155.4,24.9,78.1,156.4
sparse_random,77.5,154.1,159.8,20.2,77.5,160.8
star,89.9,171.0,170.0,2.0,89.9,171.0
tree,54.5,64.7,93.5,22.9,54.5,94.5
